industry_category,stock_id,stock_name,type,date
上櫃ETF,00780B,國泰A級金融債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00780B,國泰A級金融債,tpex,2024-12-31
上櫃ETF,00781B,國泰A級科技債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00781B,國泰A級科技債,tpex,2024-12-31
上櫃ETF,00782B,國泰A級公用債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00782B,國泰A級公用債,tpex,2024-12-31
ETF,00783,富邦中証500,twse,2025-11-15
上櫃ETF,00784B,富邦中國投等債,tpex,2025-04-22
上櫃指數股票型基金(ETF),00784B,富邦中國投等債,tpex,2024-12-31
上櫃ETF,00785B,富邦金融投等債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00785B,富邦金融投等債,tpex,2024-12-31
上櫃ETF,00786B,元大10年IG銀行債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00786B,元大10年IG銀行債,tpex,2024-12-31
上櫃ETF,00787B,元大10年IG醫療債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00787B,元大10年IG醫療債,tpex,2024-12-31
上櫃ETF,00788B,元大10年IG電能債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00788B,元大10年IG電能債,tpex,2024-12-31
上櫃ETF,00789B,復華公司債A3,tpex,2025-11-14
上櫃指數股票型基金(ETF),00789B,復華公司債A3,tpex,2024-12-31
上櫃ETF,00790B,復華次順位金融債,tpex,2025-04-15
上櫃指數股票型基金(ETF),00790B,復華次順位金融債,tpex,2024-12-31
上櫃ETF,00791B,復華信用債1-5,tpex,2025-11-14
上櫃指數股票型基金(ETF),00791B,復華信用債1-5,tpex,2024-12-31
上櫃ETF,00792B,群益A級公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00792B,群益A級公司債,tpex,2024-12-31
上櫃ETF,00793B,群益AAA-A醫療債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00793B,群益AAA-A醫療債,tpex,2024-12-31
上櫃ETF,00794B,群益7+中國政金債,tpex,2025-08-21
上櫃指數股票型基金(ETF),00794B,群益7+中國政金債,tpex,2024-12-31
上櫃ETF,00795B,中信美國公債20年,tpex,2025-11-14
上櫃指數股票型基金(ETF),00795B,中信美國公債20年,tpex,2024-12-31
上櫃指數股票型基金(ETF),00796B,中信中國債7-10,tpex,2022-08-27
